"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"1","reef",0.2844,0.3361,0.6542,0.5317,0.2799,0.3041,0.0636,0.0398,0.2911,0.0726,0.0925,0.0403,0.2232,0.5571,0.0477,0.2,0,0,0.2222,0.0211,0.1112,0.3297,0.25,0,0,0
"2","canyon",0,0,0,0.1,0.05,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0
"3","flat",0.6564,0.576,0.3458,0,0.4891,0.2861,0.3465,0.4,0.3867,0.218,0.325,0.1439,0.1354,0.071,0.1795,0.8,0,0,0.5511,0.4569,0.2507,0,0.25,0,0,0
"4","soft",0.0593,0.0878,0,0.4078,0.231,0.4098,0.5899,0.3265,0.2421,0.6885,0.5407,0.6871,0.4276,0.372,0.393,0.05,0,0,0.2267,0.3576,0.5711,0.3005,0.5,1,1,1
"5","NH3",13.642339972,20.734011805,22.46917772,27.80636036,21.0381103625,20.9798474475,33.681523335,50.43323066,13.978888068,10.904657378,14.095983265,23.409595525,17.121216084,25.78659379,40.3306049133333,3.34350316657143,NA,NA,6.05968940316667,8.08900608966667,7.61306729633333,8.65725030928571,12.6145821133333,12.1741612425,3.02498389214286,3.52993281328571
"6","NO3",57.697635764,71.3114818375,78.647037174,98.9070299075,126.779964575,92.54284015,144.656752,267.587982266667,109.56792856,118.41449286,89.3479435475,82.7057197825,73.19519558,67.65739051,163.379713166667,156.124092228571,NA,NA,134.152170933333,121.6732783,132.123642066667,115.781636385714,83.34439174,89.0430128,163.053239757143,155.163362857143
"7","DON",0.2791887324,0.350293867,0.3162503548,0.37560789425,0.33223815875,0.3130687595,0.37740432175,0.57126745,0.2489977732,0.1785621386,0.365758282,0.40508562,0.3550412774,0.451450133,0.548160508666667,0.109007096,NA,NA,0.143243504166667,0.14790286,0.176170518666667,0.206767746285714,0.330069390666667,0.413754342666667,0.109945309666667,0.116235942666667
"8","Si",1.2370459196,1.67937432675,1.5379897136,2.23665598275,1.67202927175,1.6382517245,2.164682938,3.52160134666667,0.9974159834,0.796387514,1.7026533395,2.34966783425,2.1739165094,3.31462458875,4.33762210833333,0.220173939285714,NA,NA,0.391372345666667,0.5474792615,0.647578861333333,0.955214668857143,1.6621932875,1.769821431,0.207243766571429,0.234434804857143
"9","Chl_a",5.464159315,5.464159315,2.73247359,5.464532201,5.461368903,5.460449324,5.461701799,13.65712678,2.728401789,2.728294285,5.458271558,5.459573683,2.729112666,5.458397274,27.29575612,0.54610401,NA,NA,1.362774657,1.363695805,1.363980037,0.545421918,1.363878944,1.363878944,0.753550557714286,0.54610401
"10","Rugosity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
