"name","required","dimensions","dimnames","bmtype","units","long_name","dtype","sumtype","inwc","insed","dissol","decay","partic","fill.value","passive","svel","xvel","psize","b_dens","i_conc","f_conc","wc.hor.pattern","wc.ver.pattern","sediment","wc.hor.scalar"
"volume",TRUE,2,"[ z b ]","phys","m3","Volume",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"calculated","calculated",1,1
"nominal_dz",TRUE,2,"[ z b ]","phys","m","Thickness",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"calculated","calculated",1,1
"dz",TRUE,2,"[ z b ]","phys","m","Thickness",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"calculated","calculated",1,1
"numlayers",TRUE,1,"[ b ]","phys","1","Number of layers",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"calculated","none",0,1
"hdsource",TRUE,2,"[ z b ]","phys","1","Hydrodynamic sources",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"hdsink",TRUE,2,"[ z b ]","phys","1","Hydrodynamic sinks",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"eflux",TRUE,2,"[ z b ]","phys","1","Hydrodynamic net exchanges",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"vflux",TRUE,2,"[ z b ]","phys","1","Hydrodynamic net vertical exchanges",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"porosity",TRUE,2,"[ z b ]","phys","1","Porosity",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"topk",TRUE,1,"[ b ]","phys","1","Sediment top index",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","none",0,0
"sedbiodepth",TRUE,1,"[ b ]","phys","m","Depth of biological activity",0,0,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0.2,0.2
"seddetdepth",TRUE,1,"[ b ]","phys","m","Max depth of detritus",0,0,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0.25,0.25
"sedoxdepth",TRUE,1,"[ b ]","phys","m","Depth of oxygen horizon",0,0,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0.1,0.1
"sedbiodens",TRUE,1,"[ b ]","phys","Animals m-2","Biological activity",0,0,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",100,100
"sedirrigenh",TRUE,1,"[ b ]","phys","1","Bioirrigation enhancement",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",6.49,6.49
"sedturbenh",TRUE,1,"[ b ]","phys","1","Bioturbation enhancement",0,0,NA,NA,NA,NA,NA,1e-06,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",5,5
"erosion_rate",TRUE,1,"[ b ]","phys","m s-1","Erosion rate",0,0,NA,NA,NA,NA,NA,4e-07,NA,NA,NA,NA,NA,NA,NA,"constant","none",0,0
"reef",TRUE,1,"[ b ]","tracer","1","Percent reef cover",0,1,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"flat",TRUE,1,"[ b ]","tracer","1","Percent flat cover",0,1,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"soft",TRUE,1,"[ b ]","tracer","1","Percent soft cover",0,1,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,1
"canyon",TRUE,1,"[ b ]","tracer","1","Percent canyon",0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"eddy",TRUE,1,"[ b ]","tracer","1","Eddy strength",0,1,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,"constant","none",0,1
"water",TRUE,2,"[ z b ]","tracer","1","Water",0,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"constant ","uniform",0,0
"Rugosity",TRUE,2,"[ z b ]","tracer","1","rugosity",0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",0,0
"AragoniteSaturation",TRUE,2,"[ z b ]","tracer","1","Aragonite Saturation",0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"NH3",TRUE,2,"[ z b ]","tracer","mg N m-3","Ammonia",0,1,1,1,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",0.2,0.55
"NO3",TRUE,2,"[ z b ]","tracer","mg N m-3","Nitrate",0,1,1,1,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",0,0.1
"DON",TRUE,2,"[ z b ]","tracer","mg N m-3","Dissolved Organic Nitrogen",0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",90,90
"MicroNut",TRUE,2,"[ z b ]","tracer","mg N m-3","Dissolved Organic Nitrogen",0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",2.7,2.7
"Oxygen",TRUE,2,"[ z b ]","tracer","mg O2 m-3","Dissolved Oxygen",0,1,1,1,1,0,0,8000,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",6700,6700
"Si",TRUE,2,"[ z b ]","tracer","mg Si m-3","Dissolved Silica",0,1,1,1,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",16.65,0.9
"Det_Si",TRUE,2,"[ z b ]","tracer","mg Si m-3","Detrital Silica",0,1,1,1,0,0,1,1,1,-2.89e-05,1e-07,1e-05,1000000000,200000000,200000000,"constant","uniform",27000,9
"Light",TRUE,2,"[ z b ]","tracer","missing","Light intensity on the surface of a cell",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",1e-06,0.01
"Temp",TRUE,2,"[ z b ]","tracer","degrees Celcius","Temperature",0,1,0,0,1,0,0,15,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",22,28
"salt",TRUE,2,"[ z b ]","tracer","PSU","Salinity",0,1,1,1,1,0,0,35,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",33,33
"Denitrifiction",TRUE,2,"[ z b ]","tracer","missing","Denitrifiction (N)",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Nitrification",TRUE,2,"[ z b ]","tracer","missing","Nitrification (N)",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Chl_a",TRUE,2,"[ z b ]","tracer","missing","Chlorophyll",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"custom","uniform",6.3,9.8
"Stress",TRUE,2,"[ z b ]","tracer","N m-2","Surface stress",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"DiagNGain",TRUE,2,"[ z b ]","tracer","N m-2","Diagnostic - gain in checked group",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"DiagNLoss",TRUE,2,"[ z b ]","tracer","N m-2","Diagnostic - loss in checked group",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"DiagNFlux",TRUE,2,"[ z b ]","tracer","N m-2","Diagnostic - flux in checked group",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"squid_N",FALSE,2,"[ z b ]","tracer","mg N m-3","squid Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"pandalus_N",FALSE,2,"[ z b ]","tracer","mg N m-3","pandalus Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"crangon_N",FALSE,2,"[ z b ]","tracer","mg N m-3","crangon Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"nephrops_N",FALSE,2,"[ z b ]","tracer","mg N m-3","nephrops Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"large_crabs_N",FALSE,1,"[ b ]","epibenthos","mg N m-2","large_crabs Nitrogen",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"small_epifauna_N",FALSE,1,"[ b ]","epibenthos","mg N m-2","small_epifauna Nitrogen",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"sessile_epifauna_N",FALSE,1,"[ b ]","epibenthos","mg N m-2","sessile_epifauna Nitrogen",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"epifaunal_macrobenthos_N",FALSE,1,"[ b ]","epibenthos","mg N m-2","epifaunal_macrobenthos Nitrogen",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"infaunal_macrobenthos_N",FALSE,2,"[ z b ]","tracer","mg N m-3","infaunal_macrobenthos Nitrogen",0,1,0,1,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"small_infauna_N",FALSE,2,"[ z b ]","tracer","mg N m-3","small_infauna Nitrogen",0,1,0,1,0,0,1,0,0,0,0,0.001,1000000000,200000000,200000000,"custom","uniform",0,0
"gelantinous_zoo_N",FALSE,2,"[ z b ]","tracer","mg N m-3","gelantinous_zoo Nitrogen",0,1,1,0,0,0,1,0,1,0,0,0.1,1000000000,200000000,200000000,"custom","uniform",0,0
